"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon May 09 13:51:46 GMT 2022","Mon May 09 13:51:50 GMT 2022","4180","chromium","tests/ui/main_page.spec.js","Check main playwright page","","","Check ""GET STARTED"" button redirection @smoke",""
"passed","Mon May 09 13:51:52 GMT 2022","Mon May 09 13:51:54 GMT 2022","1580","chromium","tests/ui/navigator_bar.spec.js","Check navigator bar component","","","Check ""Playwright""(logo) button redirection @smoke",""
"passed","Mon May 09 13:51:46 GMT 2022","Mon May 09 13:51:51 GMT 2022","4921","chromium","tests/ui/docs_page.spec.js","Check ""Docs"" page","","","Check side panel introduction items @smoke",""
"failed","Mon May 09 13:51:54 GMT 2022","Mon May 09 13:51:56 GMT 2022","1857","chromium","tests/ui/main_page.spec.js","Check main playwright page","","","Check fail test with video",""
"passed","Mon May 09 13:51:46 GMT 2022","Mon May 09 13:51:47 GMT 2022","1098","chromium","tests/api/api.spec.js","Check API","","","Check call - GET /docs/api/class-playwright 200 @fast",""
"passed","Mon May 09 13:51:50 GMT 2022","Mon May 09 13:51:53 GMT 2022","3135","chromium","tests/ui/main_page.spec.js","Check main playwright page","","","Check scroll to footer ""Community"" column title",""
"passed","Mon May 09 13:51:47 GMT 2022","Mon May 09 13:51:52 GMT 2022","5232","chromium","tests/ui/main_page.spec.js","Check main playwright page","","","Check redirection on GitHub repo after clicking on link button",""
