"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Apr 24 17:48:36 GMT 2022","Sun Apr 24 17:48:37 GMT 2022","834","chromium","tests/api/api.spec.js","Check API","","","Check call - GET /docs/api/class-playwright 200 @fast",""
"passed","Sun Apr 24 17:48:39 GMT 2022","Sun Apr 24 17:48:45 GMT 2022","6277","chromium","tests/ui/docs_page.spec.js","Check ""Docs"" page","","","Check tag @slow",""
"passed","Sun Apr 24 17:48:41 GMT 2022","Sun Apr 24 17:48:42 GMT 2022","1546","chromium","tests/ui/main_page.spec.js","Check main playwright page","","","Check scroll to footer ""Community"" column title",""
"passed","Sun Apr 24 17:48:39 GMT 2022","Sun Apr 24 17:48:41 GMT 2022","2307","chromium","tests/ui/main_page.spec.js","Check main playwright page","","","Check redirection on GitHub repo after clicking on link button",""
"passed","Sun Apr 24 17:48:36 GMT 2022","Sun Apr 24 17:48:39 GMT 2022","3254","chromium","tests/ui/docs_page.spec.js","Check ""Docs"" page","","","Check side panel introduction items",""
"failed","Sun Apr 24 17:48:48 GMT 2022","Sun Apr 24 17:48:54 GMT 2022","5856","chromium","tests/ui/main_page.spec.js","Check main playwright page","","","test will fail",""
"passed","Sun Apr 24 17:48:36 GMT 2022","Sun Apr 24 17:48:39 GMT 2022","2738","chromium","tests/ui/main_page.spec.js","Check main playwright page","","","Check ""GET STARTED"" button redirection",""
"passed","Sun Apr 24 17:48:39 GMT 2022","Sun Apr 24 17:48:41 GMT 2022","1418","chromium","tests/ui/navigator_bar.spec.js","Check navigator bar component","","","Check ""Playwright""(logo) button redirection @fast",""
"failed","Sun Apr 24 17:48:38 GMT 2022","Sun Apr 24 17:48:38 GMT 2022","909","chromium","tests/api/api.spec.js","Check API","","","test will fail",""
