"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Apr 24 18:09:26 GMT 2022","Sun Apr 24 18:09:27 GMT 2022","926","chromium","tests/api/api.spec.js","Check API","","","Check call - GET /docs/api/class-playwright 200 @fast",""
"passed","Sun Apr 24 18:09:26 GMT 2022","Sun Apr 24 18:09:29 GMT 2022","2939","chromium","tests/ui/main_page.spec.js","Check main playwright page","","","Check ""GET STARTED"" button redirection",""
"passed","Sun Apr 24 18:09:31 GMT 2022","Sun Apr 24 18:09:32 GMT 2022","1458","chromium","tests/ui/navigator_bar.spec.js","Check navigator bar component","","","Check ""Playwright""(logo) button redirection @fast",""
"passed","Sun Apr 24 18:09:31 GMT 2022","Sun Apr 24 18:09:33 GMT 2022","1858","chromium","tests/ui/main_page.spec.js","Check main playwright page","","","Check scroll to footer ""Community"" column title",""
"passed","Sun Apr 24 18:09:29 GMT 2022","Sun Apr 24 18:09:31 GMT 2022","2242","chromium","tests/ui/main_page.spec.js","Check main playwright page","","","Check redirection on GitHub repo after clicking on link button",""
"failed","Sun Apr 24 18:09:39 GMT 2022","Sun Apr 24 18:09:45 GMT 2022","5986","chromium","tests/ui/main_page.spec.js","Check main playwright page","","","test will fail",""
"passed","Sun Apr 24 18:09:26 GMT 2022","Sun Apr 24 18:09:30 GMT 2022","3279","chromium","tests/ui/docs_page.spec.js","Check ""Docs"" page","","","Check side panel introduction items",""
"failed","Sun Apr 24 18:09:28 GMT 2022","Sun Apr 24 18:09:30 GMT 2022","1205","chromium","tests/api/api.spec.js","Check API","","","test will fail",""
"passed","Sun Apr 24 18:09:30 GMT 2022","Sun Apr 24 18:09:36 GMT 2022","6385","chromium","tests/ui/docs_page.spec.js","Check ""Docs"" page","","","Check tag @slow",""
