"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Apr 24 18:02:38 GMT 2022","Sun Apr 24 18:02:39 GMT 2022","1135","chromium","tests/api/api.spec.js","Check API","","","Check call - GET /docs/api/class-playwright 200 @fast",""
"passed","Sun Apr 24 18:02:45 GMT 2022","Sun Apr 24 18:02:46 GMT 2022","1760","chromium","tests/ui/main_page.spec.js","Check main playwright page","","","Check scroll to footer ""Community"" column title",""
"passed","Sun Apr 24 18:02:42 GMT 2022","Sun Apr 24 18:02:45 GMT 2022","2885","chromium","tests/ui/main_page.spec.js","Check main playwright page","","","Check redirection on GitHub repo after clicking on link button",""
"failed","Sun Apr 24 18:02:52 GMT 2022","Sun Apr 24 18:02:59 GMT 2022","6135","chromium","tests/ui/main_page.spec.js","Check main playwright page","","","test will fail",""
"passed","Sun Apr 24 18:02:43 GMT 2022","Sun Apr 24 18:02:45 GMT 2022","1877","chromium","tests/ui/navigator_bar.spec.js","Check navigator bar component","","","Check ""Playwright""(logo) button redirection @fast",""
"failed","Sun Apr 24 18:02:41 GMT 2022","Sun Apr 24 18:02:42 GMT 2022","1047","chromium","tests/api/api.spec.js","Check API","","","test will fail",""
"passed","Sun Apr 24 18:02:38 GMT 2022","Sun Apr 24 18:02:42 GMT 2022","4124","chromium","tests/ui/docs_page.spec.js","Check ""Docs"" page","","","Check side panel introduction items",""
"passed","Sun Apr 24 18:02:38 GMT 2022","Sun Apr 24 18:02:42 GMT 2022","3394","chromium","tests/ui/main_page.spec.js","Check main playwright page","","","Check ""GET STARTED"" button redirection",""
"passed","Sun Apr 24 18:02:42 GMT 2022","Sun Apr 24 18:02:49 GMT 2022","6682","chromium","tests/ui/docs_page.spec.js","Check ""Docs"" page","","","Check tag @slow",""
