"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Apr 24 17:58:01 GMT 2022","Sun Apr 24 17:58:03 GMT 2022","2137","chromium","tests/ui/navigator_bar.spec.js","Check navigator bar component","","","Check ""Playwright""(logo) button redirection @fast",""
"passed","Sun Apr 24 17:58:00 GMT 2022","Sun Apr 24 17:58:03 GMT 2022","3125","chromium","tests/ui/main_page.spec.js","Check main playwright page","","","Check redirection on GitHub repo after clicking on link button",""
"failed","Sun Apr 24 17:58:11 GMT 2022","Sun Apr 24 17:58:17 GMT 2022","6145","chromium","tests/ui/main_page.spec.js","Check main playwright page","","","test will fail",""
"passed","Sun Apr 24 17:57:56 GMT 2022","Sun Apr 24 17:58:00 GMT 2022","3844","chromium","tests/ui/main_page.spec.js","Check main playwright page","","","Check ""GET STARTED"" button redirection",""
"passed","Sun Apr 24 17:58:00 GMT 2022","Sun Apr 24 17:58:07 GMT 2022","6965","chromium","tests/ui/docs_page.spec.js","Check ""Docs"" page","","","Check tag @slow",""
"passed","Sun Apr 24 17:57:56 GMT 2022","Sun Apr 24 17:58:00 GMT 2022","4579","chromium","tests/ui/docs_page.spec.js","Check ""Docs"" page","","","Check side panel introduction items",""
"passed","Sun Apr 24 17:57:56 GMT 2022","Sun Apr 24 17:57:57 GMT 2022","1003","chromium","tests/api/api.spec.js","Check API","","","Check call - GET /docs/api/class-playwright 200 @fast",""
"passed","Sun Apr 24 17:58:03 GMT 2022","Sun Apr 24 17:58:05 GMT 2022","1789","chromium","tests/ui/main_page.spec.js","Check main playwright page","","","Check scroll to footer ""Community"" column title",""
"failed","Sun Apr 24 17:57:58 GMT 2022","Sun Apr 24 17:57:59 GMT 2022","1516","chromium","tests/api/api.spec.js","Check API","","","test will fail",""
