"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Apr 27 17:47:57 GMT 2022","Wed Apr 27 17:47:58 GMT 2022","1706","chromium","tests/ui/main_page.spec.js","Check main playwright page","","","Check ""GET STARTED"" button redirection",""
"passed","Wed Apr 27 17:48:00 GMT 2022","Wed Apr 27 17:48:02 GMT 2022","1798","chromium","tests/ui/main_page.spec.js","Check main playwright page","","","Check scroll to footer ""Community"" column title",""
"passed","Wed Apr 27 17:47:57 GMT 2022","Wed Apr 27 17:47:58 GMT 2022","890","chromium","tests/api/api.spec.js","Check API","","","Check call - GET /docs/api/class-playwright 200 @fast",""
"passed","Wed Apr 27 17:47:57 GMT 2022","Wed Apr 27 17:48:00 GMT 2022","3043","chromium","tests/ui/docs_page.spec.js","Check ""Docs"" page","","","Check side panel introduction items",""
"passed","Wed Apr 27 17:48:00 GMT 2022","Wed Apr 27 17:48:06 GMT 2022","6117","chromium","tests/ui/docs_page.spec.js","Check ""Docs"" page","","","Check tag @slow",""
"passed","Wed Apr 27 17:47:58 GMT 2022","Wed Apr 27 17:48:00 GMT 2022","1796","chromium","tests/ui/main_page.spec.js","Check main playwright page","","","Check redirection on GitHub repo after clicking on link button",""
"passed","Wed Apr 27 17:47:58 GMT 2022","Wed Apr 27 17:47:59 GMT 2022","1178","chromium","tests/ui/navigator_bar.spec.js","Check navigator bar component","","","Check ""Playwright""(logo) button redirection @fast",""
